Phase,n,mean,within_sd,overall_sd,Cp,Cpk,Pp,Ppk,failures,failure_rate,shapiro_p,lag1,zero_failure_upper95,x_alarm_count,r_alarm_count,interpretation
reference,200,19.999044996679437,0.04712155855739895,0.04700851613092156,2.122170892929822,2.1154152920979903,2.127274124575517,2.1205022783997944,0,0.0,0.93652905533387,-0.07583265081762519,0.014867039231272083,0,0,no selected-rule signals in finite window
setup_shift,100,20.26446658260915,0.043791528990520676,0.044151494668164745,2.2835466654212215,0.2704740559796655,2.264928984886775,0.26826888993539877,22,0.22,0.6557312896555586,-0.15645205558127034,,20,0,unstable against reference; descriptive indices only
rebaseline,200,19.99908923162207,0.045838205914180134,0.04491498085297871,2.1815862555184573,2.1749631896009385,2.226428645875029,2.2196694431870845,0,0.0,0.9717875653811313,-0.06615767416354706,0.014867039231272083,0,0,no selected-rule signals in finite window
verification,200,20.0001559805311,0.04624160618261474,0.0437184324431405,2.1625546397563675,2.161430251685553,2.287364720362713,2.2861754391497,0,0.0,0.842721098288441,-0.06786743189184746,0.014867039231272083,1,0,provisional: selected-rule signal requires review
pooled_invalid,700,20.037292428610623,0.046027752899844045,0.10313846106634932,2.1726022605882864,1.9025302115807288,0.9695704101660961,0.8490449591524567,22,0.03142857142857143,1.3470974692299507e-27,0.7801928864267524,,,,mixed regimes; not a capability claim
